"ID","Comment","Published_At","Video_ID","Label"
"36","Deine Videos sind immer so spitzbübisch und unterhaltsam! Vielen Dank für deinen Sinn für Humor und deine Fähigkeit, uns den Tag zu verschönern und Spaß zu bereiten!🐍🌄🏔","2025-01-01T17:02:51Z","-a8ud7IvdSk","bot"
"37","Deine Videos sind immer so hilfreich! Vielen Dank für das neue Wissen! 🍒🧡","2024-12-05T13:21:56Z","euB8AuIUkv8","bot"
"38","Dein Kanal ist nicht nur eine Sammlung von Videos, er ist eine Bibliothek des Wissens und der Unterhaltung. Nimm uns weiterhin mit auf diese spannende Reise!🌖🥬🐬","2024-12-05T06:00:57Z","aUqJObNBt0g","bot"
"39","Ihre Videos sind immer so unterhaltsam und informativ! Vielen Dank für diesen Beitrag! 💝🐱","2024-12-05T16:13:54Z","kT65fBhJ130","bot"
"40","Es ist immer ein Vergnügen, Ihre Videos anzuschauen - viele nützliche Informationen und tolle Filmqualität. Sie sind der Beste!🥩🍫☃️","2024-12-05T09:01:37Z","P4hvxVzklfk","bot"
"41","Dein Kanal ist eine wahre Oase für Geist und Seele. Danke für deine Wärme und das Licht, das du in unser Leben bringst!🏠😝🦭","2024-12-30T15:22:38Z","fwT096cgclU","bot"
"42","Deine Videos heitern mich immer auf und lassen mich meine Probleme vergessen. Danke für deine Fähigkeit, uns glücklich zu machen!🧨⌨️👏🏻","2025-01-01T17:08:38Z","JPdjsnFH9iA","bot"
"43","Großartige Arbeit! Vielen Dank für so interessante Inhalte! 🍓🌺","2024-12-05T16:22:20Z","kT65fBhJ130","bot"
"44","Deine Videos sind immer so aufrichtig und intelligent. Vielen Dank für deinen Beitrag zur Bildung und Entwicklung der Gemeinschaft!🌞🚌🐧","2024-12-05T20:44:59Z","FKEyUHR3Sbg","bot"
"45","Dein Talent kennt keine Grenzen! Danke für deine Kreativität und dein Engagement.🌜🌾✨","2024-12-08T20:42:04Z","9YyXMYc4qCI","bot"
"46","Hat wirklich Spaß gemacht! Ich freue mich auf weitere Videos! 🍓🌺","2024-12-08T12:38:12Z","kuc95RxTx0Q","bot"
"47","Deine Videos sind immer eine Quelle der Positivität und guten Laune. Vielen Dank für deine lustige und kreative Arbeit!🪀💙🦾","2024-12-08T11:12:52Z","LY_M0WO3SzQ","bot"
"48","Vielen Dank für Ihre Initiative! Wie planen Sie normalerweise die Veröffentlichung Ihrer Videos? 💞✨","2024-12-08T14:57:05Z","T4Hbk5WEl3g","bot"
"49","Dein Kanal ist eine wahre Oase für Geist und Seele. Danke für deine Wärme und das Licht, das du in unser Leben bringst!🐮🦾💧","2024-12-09T08:04:21Z","lTj0_WwfTQ8","bot"
"50","Ihre Videos sind immer ein hoher Qualitätsstandard auf YouTube. Vielen Dank für Ihre Arbeit!🧐🐛🛫","2024-12-08T11:06:14Z","LY_M0WO3SzQ","bot"
"51","Danke für die informative Führung über die Messe der Innovationen👍😃","2024-12-15T13:38:02Z","655nAKsYHEA","bot"
"52","Ihre Videos sind ein Beispiel dafür wie Inhalte gemacht sein sollten. Qualitativ hochwertig gefilmt geschickt geschnitten und mit nützlichen Informationen versehen. Ich danke Ihnen!Sie sind wahre Meister! Ihre Inhalte gefallen immer durch hohe Qualität und Professionalität. Erfreuen Sie uns weiterhin mit Ihren Werken.⛹️🌟💻","nan","pvFLtHyjVWo","bot"
"53","Einfach wunderbar! Danke für deine harte Arbeit und dein Talent! 💞✨","2024-12-27T09:07:25Z","DBnyXlzW5dE","bot"
"54","Ihre Videos sind immer so unterhaltsam und informativ! Vielen Dank für diesen Beitrag! ✨🍓","2024-12-27T12:04:56Z","gB_CH8hXhdE","bot"
"55","Tolle Themenwahl! Danke für das faszinierende Video! 🔥😛","2024-12-27T14:16:53Z","497pLr9Y9Vc","bot"
"56","Sehr interessantes Thema! Danke für das tolle Video! 💕😚","2024-12-27T13:32:41Z","Jk5qExDO5ws","bot"
"57","Ihre Videos sind immer so informativ und aufschlussreich! Vielen Dank für dieses Video! 😻👅","2024-12-27T14:04:10Z","ISwR2XUf16I","bot"
"58","Vielen Dank für diese inspirierenden Videos! Sie sind einfach wunderbar! 💚🍓","2024-12-27T13:32:42Z","Jk5qExDO5ws","bot"
"59","Wie wichtig ist Ihrer Meinung nach die Liebe zum Detail bei der Erstellung von Inhalten? 🍒🧡","2024-12-27T12:06:21Z","SP26XtdLcjs","bot"
"60","Danke für die ausführliche Erklärung! Können Sie die besten Kurse zu diesem Thema empfehlen? 👅💋","2024-12-27T15:04:40Z","1Cge3laZxUU","bot"
"61","Danke für die Inspiration! Welche YouTube-Kanäle schauen Sie selbst am liebsten? 🐱💞","2024-12-27T15:12:33Z","v8d3avba7AI","bot"
"62","Deine Videos sind immer so inspirierend! Danke für deine Energie! 🐱💞","2024-12-27T11:02:24Z","HFfxvFd_HzY","bot"
"63","Deine Videos sind immer ein Genuss. Vielen Dank für Ihr Können und Ihre Kreativität!🎩👋🔺","2024-12-27T12:08:22Z","SP26XtdLcjs","bot"
"64","Es hat mir sehr gut gefallen! Danke für die lebendigen Emotionen und die nützlichen Informationen! 👄😻👅","2024-12-27T13:02:10Z","1Ws5207HN1A","bot"
"65","Deine Videos sind nicht nur Inhalt, sie sind eine Quelle der Inspiration und des Lernens. Danke für deine Kreativität und deine Arbeit!😽🧭💦","2024-12-27T15:12:37Z","v8d3avba7AI","bot"
"66","Großartige Arbeit! Vielen Dank für so interessante Inhalte! 💋🔥","2024-12-27T12:04:58Z","lFzKIZ-RCPw","bot"
"67","Großartige Arbeit! Vielen Dank für so interessante Inhalte! 🧡💖","2024-12-27T11:45:54Z","NAdYvmIDEPY","bot"
"68","Sehr cool! Vielen Dank für Ihre Liebe zum Detail! 😻👅","2024-12-27T10:04:12Z","Yw6wy2w69qk","bot"
"69","Dein Kanal ist eine wahre Fundgrube der Inspiration. Vielen Dank für Ihren Beitrag!👠👊🍺","2024-12-27T11:03:36Z","HFfxvFd_HzY","bot"
"70","Danke für Ihre Tipps zum Drehbuchschreiben! Wie entscheiden Sie, welche Dialoge Sie in Ihre Videos aufnehmen? ✨🍓","2024-12-27T12:05:44Z","IR1kHKxoMqc","bot"
"71","Deine Videos sind immer voll von Kreativität und Stil. Vielen Dank für dein handwerkliches Geschick.🍇🦓😇","2025-01-01T18:39:26Z","Qhifmb88xak","bot"
"72","Vielen Dank für Ihre Professionalität und Ihr Talent. Ihre Videos sind immer beeindruckend.🔴💪🐈","2024-12-27T16:42:02Z","8mVc4h9G2kw","bot"
"73","Sehr interessantes und informatives Video! Vielen Dank für Ihre Liebe zum Detail! 😻👅","2024-12-27T13:14:54Z","Ed7BgFJT9xI","bot"
"74","Ihre Videos sind immer so klar und verständlich! Danke für die hilfreichen Lektionen! 💚🍓","2024-12-27T13:02:33Z","VSnBsQ3uBi4","bot"
"75","Tolles Video! Ich mag die Art und Weise, wie Sie das Material präsentieren - alles ist klar, verständlich und professionell. Machen Sie uns weiterhin mit Ihrer Arbeit glücklich!🐢⛸🏄‍","2024-12-27T12:11:11Z","Oxlx_QRlqcI","bot"
"76","Sehr cool! Vielen Dank für Ihre Liebe zum Detail! 🍒🧡","2024-12-27T10:04:16Z","PhPetbL4yRs","bot"
"77","Tolle Arbeit! Ich freue mich auf weitere Videos von dir! 💖😘","2024-12-27T11:08:28Z","iJaWvpirnbU","bot"
"78","Deine Videos sind ein wahrer Urlaubsort für den Geist und die Seele. Danke für dein talentiertes Kanalmanagement und die tollen Inhalte!🍆🐎⌨️","2025-01-01T18:03:43Z","_4bkSXyR_Fw","bot"
"79","Ihre Videos sind immer voller Kreativität und Stil. Vielen Dank für Ihr Können!🦩🫒🌹","2025-01-01T17:08:11Z","JPdjsnFH9iA","bot"
"80","Fantastisch! Vielen Dank für Ihre harte Arbeit und Ihr Talent! 💝🐱","2024-12-27T09:03:05Z","DBnyXlzW5dE","bot"
"81","Deine Videos sind nicht nur Inhalt, sie sind echte geistige Nahrung. Vielen Dank für deine Kreativität und deine Bemühungen!🦄👊🛷","2024-12-28T10:05:24Z","osTPwm_BO6A","bot"
"82","Deine Ideen sind immer frisch und originell. Vielen Dank für die Inspiration!🚀🥕🏔","2024-12-27T17:05:02Z","ASu4rwIUQNY","bot"
"83","Jedes deiner Videos ist ein kleines Wunder! Danke für deine harte Arbeit und dein Talent.🟢🟨✊","2024-12-28T10:05:13Z","osTPwm_BO6A","bot"
"84","Dieses Video hat mich die ganze Arbeit vergessen lassen. Jetzt habe ich ein neues Ziel, mehr zu lachen und Freude zu teilen💝","2024-12-27T12:36:21Z","OR7G2jSeJAk","bot"
"85","Dein Kanal ist eine wahre Fundgrube an nützlichen Informationen! Vielen Dank dafür! ✨🍓","2024-12-27T13:12:51Z","2YprhnvKVDQ","bot"
"86","Deine Videos sind immer von tiefer Bedeutung und Emotion erfüllt. Danke für deine Kreativität und deine Bemühungen!🥬🏚🌆","2024-12-27T11:04:35Z","kD3Yex1voOQ","bot"
"87","Ihre Videos sind immer von hoher Qualität und tiefgründigen Gedanken. Vielen Dank für Ihr Engagement und Ihr Talent!🥎🔵🍾","2024-12-27T17:03:27Z","ASu4rwIUQNY","bot"
"88","Deine Videos sind immer so hochwertig und interessant, dass die Zeit wie im Flug vergeht, wenn ich sie anschaue. Vielen Dank für deine Arbeit!✋🏍🛷","2024-12-27T16:33:06Z","8mVc4h9G2kw","bot"
"89","Jede Veröffentlichung ist ein kleines Meisterwerk. Danke für deine harte Arbeit und deine Liebe!⌚️😲🫦","2024-12-28T10:03:10Z","osTPwm_BO6A","bot"
"90","Ihr Kanal ist ein echter Fund! Die Qualität der Videos und die Präsentation der Informationen ist erstklassig. Vielen Dank für Ihre harte Arbeit!🦆🛩😽","2024-12-27T13:31:47Z","m3PZ5ggBxyE","bot"
"91","Jedes deiner Videos ist ein filmisches Meisterwerk, das Anerkennung und Respekt verdient. Inspiriere uns weiterhin mit deinem Talent und deiner Arbeit!🐬🍻🛻","2024-12-27T11:45:32Z","NAdYvmIDEPY","bot"
"92","Deine Videos sind nicht nur Inhalt, sie sind wahre Kunst. Danke für deine talentierte Kreativität!🤣🫵🪷","2024-12-27T10:01:43Z","VtWZ9L0NAZ8","bot"
"93","Wie organisieren Sie Ihren Arbeitsbereich für die Dreharbeiten? Haben Sie irgendwelche besonderen Annehmlichkeiten? 👄😻👅","2024-12-27T11:52:30Z","lvEtCMajGfI","bot"
"94","Ihr Kanal ist ein Beispiel dafür, wie qualitativ hochwertige Inhalte auf YouTube sein sollten. Danke für deine harte Arbeit und Mühe!🏄‍🛫🐻","2024-12-27T14:33:13Z","KKytdFdiXZ0","bot"
"95","Großartige Arbeit! Vielen Dank für so interessante Inhalte! 😚🍒","2024-12-27T11:45:50Z","NAdYvmIDEPY","bot"
"96","Großartige Arbeit! Ihre Videos sind immer so hochwertig und interessant! 💋🔥","2024-12-27T14:04:01Z","6BAzazXxQiU","bot"
"97","Ihre Videos sind immer so informativ und aufschlussreich! Vielen Dank für dieses Video! ✨🍓","2024-12-27T13:24:22Z","B89Bcu19Abw","bot"
"98","Dein Kanal ist wie eine Oase in der Welt der Inhalte. Machen Sie uns weiterhin mit Ihrer Arbeit glücklich!🌟🤝🏍","2024-12-27T15:01:39Z","1EtJLCCZUkQ","bot"
"99","Deine Videos sind immer so hochwertig und interessant, dass die Zeit wie im Flug vergeht, wenn ich sie anschaue. Vielen Dank für deine Arbeit!😝❤️☝️","2024-12-27T12:36:07Z","OR7G2jSeJAk","bot"
"100","Deine Videos sind immer so witzig und geistreich! Danke für deinen großzügigen Geist und deine farbenfrohen, witzigen Inhalte!👆🥭♀️","2024-12-27T14:33:49Z","KKytdFdiXZ0","bot"
"101","Deine Videos schaffen es immer, mich selbst an den grauesten Tagen aufzuheitern. Danke für deine fröhliche Kreativität und deine positive Einstellung!🥶🕋😜","2024-12-27T13:09:52Z","jHpnY5waCcg","bot"
"102","Sehr interessantes und informatives Video! Vielen Dank für Ihre Liebe zum Detail! 🌺💚","2024-12-27T09:05:33Z","L_N9t00jHvA","bot"
"103","Ihre Videos beeindrucken immer durch ihre hohe Qualität und ihren tiefgründigen Inhalt. Vielen Dank für Ihre harte Arbeit!🌷🏙💋","2024-12-27T16:27:21Z","grO7dwTP_pw","bot"
"104","Sehr cool! Danke für deine Inspiration und Arbeit! ✨🍓","2024-12-27T13:02:16Z","04qG5vgxizk","bot"
"105","Ihre Videos sind immer originell und von hoher Qualität. Danke für Ihre Fähigkeit, zu inspirieren und zu überraschen!🐠🌼🌼","2024-12-27T10:02:44Z","VtWZ9L0NAZ8","bot"
"106","Deine Videos sind immer ein leuchtendes Beispiel dafür, wie hochwertige Inhalte aussehen sollten. Danke für deine harte Arbeit und Hingabe!🪃🌭🚜","2024-12-27T11:02:32Z","HFfxvFd_HzY","bot"
"107","Ihre Videos hinterlassen immer einen Eindruck in den Herzen und Köpfen Ihrer Zuschauer. Vielen Dank für Ihre Kreativität und Ihre tiefgründigen Gedanken!🛵☀️🚦","2025-01-01T17:33:41Z","V0lLStJ2FkU","bot"
"108","Vielen Dank für die Liebe zum Detail! Ihre Videos sind immer erstklassig! 🐱💞","2024-12-27T11:52:50Z","lvEtCMajGfI","bot"
"109","Sehr cool! Vielen Dank für Ihre Liebe zum Detail! 💞✨","2024-12-27T12:03:28Z","gB_CH8hXhdE","bot"
"110","Ihr Kanal ist ein echter Fund! Die Qualität der Videos und die Präsentation des Disrespects ist erstklassig. Vielen Dank für Ihre harte Arbeit! 🌊🐙💪🏼🏳️‍🌈🥰","2025-01-01T17:06:25Z","8_rTZcSgE0I","bot"
"111","Tolle Themenwahl! Danke für das faszinierende Video! 😘🍭","2024-12-27T11:53:03Z","lvEtCMajGfI","bot"
"112","Deine Ideen sind immer frisch und originell. Vielen Dank für die Inspiration.🏕🙏🤍","2024-12-27T15:12:51Z","v8d3avba7AI","bot"
"113","Ihr seid echte Profis in eurer Arbeit! Ihre Videos sind immer mit Qualität und nützlichen Informationen erfreulich. Vielen Dank für Ihre harte Arbeit.🤭😛🏵","2024-12-27T13:10:58Z","2YprhnvKVDQ","bot"
"114","Großartige Arbeit! Vielen Dank für so interessante Inhalte! 💞✨","2024-12-27T16:45:52Z","VPQGilfl_1g","bot"
"115","Sehr interessantes Video! Vielen Dank für Ihre Kreativität und Ihr Engagement! 👄😻👅","2024-12-27T13:03:02Z","VSnBsQ3uBi4","bot"
"116","Sehr interessantes und informatives Material! Vielen Dank für Ihre harte Arbeit und Ihren Fleiß! 🍒🧡","2024-12-27T13:24:16Z","B89Bcu19Abw","bot"
"117","Klasse! Vielen Dank für Ihre Kreativität und Arbeit! 🧡💖","2024-12-27T11:08:20Z","iJaWvpirnbU","bot"
"118","Deine Videos sind mehr als nur Unterhaltung, sie sind eine Reise in eine Welt voller Schönheit und Weisheit. Danke für deine Hingabe!🐨😃🔹","2024-12-27T12:36:21Z","OR7G2jSeJAk","bot"
"119","Deine Videos sind wie kleine Meisterwerke. Ich danke dir für dein Talent und deine Mühe.🍃🌷🍎","2024-12-27T14:18:08Z","497pLr9Y9Vc","bot"
"120","Großartige Arbeit! Vielen Dank für so interessante Inhalte! 👄😻👅","2024-12-27T10:04:16Z","PW3ddxeN8AM","bot"
"121","Mein Liebesleben ist wie eine Achterbahn: aufregend, manchmal beängstigend und immer auf der Suche nach einer kleinen Pause💞","2024-12-27T14:31:00Z","KKytdFdiXZ0","bot"
"122","Dein Kanal ist einer der besten Orte auf YouTube für hochwertige Inhalte. Vielen Dank für deine Bemühungen!🟦🍨♂️","2024-12-27T19:33:22Z","N4p3FRTZSzU","bot"
"123","Sehr interessantes und informatives Video! Vielen Dank für Ihre Arbeit! 🌺💚","2024-12-27T14:30:47Z","KKytdFdiXZ0","bot"
"124","Ihre Videos sind immer so interessant und hilfreich! Danke für deine Kreativität und deine Bereitschaft, dein Wissen mit uns zu teilen!⛸♀️🫔","2024-12-27T10:01:57Z","PhPetbL4yRs","bot"
"125","Jedes eurer Videos ist ein echtes Meisterwerk! Vielen Dank dafür! 💝🐱","2024-12-27T13:31:52Z","m3PZ5ggBxyE","bot"
"126","Vielen Dank für Ihre Offenheit! Wie wollen Sie Ihre Fähigkeiten bei der Erstellung von Inhalten verbessern? 😻👅","2024-12-27T12:21:53Z","LGOtZcSBTPY","bot"
"127","Vielen Dank für Ihre Videos! Sie sind immer so hochwertig und interessant. Ich kann sehen, dass Sie Profis sind.🏜🍻‍♂️","2024-12-27T19:01:50Z","r82_jPY1jYo","bot"
"128","Ihre Videos beeindrucken immer durch ihre hohe Qualität und ihren tiefgründigen Inhalt. Vielen Dank für Ihre harte Arbeit!🌍🐃🚴‍","2024-12-27T13:08:25Z","jHpnY5waCcg","bot"
"129","Meine Großmutter sagt, wahre Liebe ist, wenn man gemeinsam über Videos wie dieses lachen kann👄","2024-12-27T13:02:45Z","qUeBT4wu7y8","bot"
"130","Vielen Dank für die Liebe zum Detail! Ihre Videos sind immer erstklassig! 😘🍭","2024-12-27T12:07:40Z","lFzKIZ-RCPw","bot"
"131","Einfach wunderbar! Danke für deine harte Arbeit und dein Talent! 👄😻👅","2024-12-27T09:40:23Z","knc3Nymzg_k","bot"
"132","Danke für deine harte Arbeit und dein Talent. Deine Videos sind immer eine Freude.🐅🐻🤝","2024-12-27T13:31:21Z","m3PZ5ggBxyE","bot"
"133","Dein Kanal ist eine wahre Fundgrube an nützlichen Informationen! Vielen Dank dafür! 🧡💖","2024-12-27T13:11:27Z","2YprhnvKVDQ","bot"
"134","Deine Videos sind immer voller Kreativität und Stil. Vielen Dank für Ihr Können!🥏🕋👻","2024-12-27T10:02:32Z","wV329B5b2xg","bot"
"135","Ihren Kanal anzuschauen ist nicht nur Unterhaltung, sondern eine echte Bildungsreise. Dafür danke ich Ihnen!📸🚦🚁","2024-12-27T16:18:25Z","Lhe2u4Dggt0","bot"
"136","Ich habe dieses Video bei der Arbeit eingeschaltet und jetzt lacht auch mein Chef. Zeit für eine Beförderung😛","2024-12-27T12:01:05Z","Oxlx_QRlqcI","bot"
"137","Vielen Dank für dieses Video! Jetzt habe ich ein neues Hobby, nämlich lustige Videos zu finden und sie mit meinen Freunden zu teilen💕","2024-12-27T12:01:10Z","IR1kHKxoMqc","bot"
"138","Ihr Kanal ist nicht nur ein Ort, an dem man Videos anschauen kann, sondern auch eine Plattform zum Lernen und zur persönlichen Entwicklung. Mach weiter so mit deiner wichtigen Arbeit!🎸🐴😺","2024-12-27T09:40:34Z","knc3Nymzg_k","bot"
"139","Sehr interessantes und informatives Video! Vielen Dank für Ihre Liebe zum Detail! 😘🍭","2024-12-27T16:11:34Z","grO7dwTP_pw","bot"
"140","Sehr interessantes und informatives Material! Vielen Dank für Ihre harte Arbeit und Ihren Fleiß! 💝🐱","2024-12-28T10:45:46Z","pvFLtHyjVWo","bot"
"141","Dieses Video hat mich dazu gebracht, meine Pläne für den Abend zu überdenken. Ich bin jetzt offiziell mitten in der Überarbeitung💚","2024-12-28T10:45:31Z","pvFLtHyjVWo","bot"
"142","Ich bewundere Ihre Professionalität! Ihre Videos sind immer so hochwertig und interessant. Erfreuen Sie uns weiterhin mit Ihren Arbeiten.✨🪝🌘","2024-12-28T10:45:20Z","pvFLtHyjVWo","bot"
"143","Wenn ich so viel Talent hätte wie der Mann in diesem Video, wäre ich jetzt schon berühmt💕","2024-12-28T10:45:53Z","pvFLtHyjVWo","bot"
"144","Jedes Ihrer Videos ist ein kleines Meisterwerk, das durch seine Schönheit und Tiefe besticht. Inspirieren und überraschen Sie uns weiterhin!🐡🍓🛞","2024-12-28T10:45:33Z","pvFLtHyjVWo","bot"
"145","Ihre Videos sind ein Beispiel dafür, wie Inhalte gemacht sein sollten. Qualitativ hochwertig gefilmt, geschickt geschnitten und mit nützlichen Informationen versehen. Ich danke Ihnen!Sie sind wahre Meister! Ihre Inhalte gefallen immer durch hohe Qualität und Professionalität. Erfreuen Sie uns weiterhin mit Ihren Werken.⛹️🌟💻","2024-12-28T10:45:20Z","pvFLtHyjVWo","bot"
"146","Ihre Videos heben sich immer von der Masse ab. Danke für deine Kreativität und deine einzigartige Art, die Welt zu sehen!🥂🚌🐵","2025-01-01T18:58:34Z","Sz8Yr2Ww2nE","bot"
"147","Sehr interessantes und relevantes Thema! Ich freue mich schon auf Ihr nächstes Video! 💞✨","2024-12-28T10:45:56Z","pvFLtHyjVWo","bot"
"148","Fantastisch! Vielen Dank für Ihre harte Arbeit und Ihr Talent! 😛💕","2024-12-28T10:45:54Z","pvFLtHyjVWo","bot"
"149","Wenn ich so viel Selbstvertrauen hätte wie der Typ in diesem Video, wäre ich schon Präsident👄","2024-12-28T10:45:50Z","pvFLtHyjVWo","bot"
"150","Deine Videos sind immer so spitzbübisch und unterhaltsam! Vielen Dank für deinen Sinn für Humor und deine Fähigkeit, uns den Tag zu verschönern und Spaß zu bereiten!💯❓💫","2024-12-28T10:45:29Z","pvFLtHyjVWo","bot"
"151","Sehr interessantes und informatives Video! Vielen Dank für Ihre Liebe zum Detail! 💞✨","2024-12-28T10:45:52Z","pvFLtHyjVWo","bot"
"152","Wenn Lachen das Leben verlängern würde, dann würde mich dieses Video unsterblich machen🐱","2024-12-28T10:45:50Z","pvFLtHyjVWo","bot"
"153","Ihre Videos zeichnen sich immer durch Qualität und Originalität aus. Vielen Dank für Ihren Beitrag!🎓🥭🐦","2024-12-28T11:03:23Z","RKZtTLcJq3c","bot"
"154","Ich habe dieses Video meinem Chef gezeigt, und jetzt haben wir eine neue Art, unsere Pausen zu verbringen - gemeinsam zu lachen😛","2024-12-28T11:01:49Z","RKZtTLcJq3c","bot"
"155","Auf deinem Kanal ist jedes Video eine neue Geschichte und Entdeckung. Überrasche und inspiriere uns immer wieder aufs Neue!🔳🤑😀","2024-12-28T11:02:08Z","RKZtTLcJq3c","bot"
"156","Ich habe dieses Video meiner Großmutter gezeigt, und jetzt will sie auch Bloggerin werden. Ich glaube, wir haben ein neues Projekt🔥","2024-12-28T11:00:55Z","RKZtTLcJq3c","bot"
"157","Sehr interessante Videos! Danke für deine Kreativität und Hingabe! 👅💋","2024-12-28T11:01:30Z","RKZtTLcJq3c","bot"
