ID,Comment,Label,comment_length,word_count,Time_Difference,!_occurring,Dank_occurring,sentence_count,average_word_length,emoji_count
13,Sehr interessante Herangehensweise an das Thema! Vielen Dank für dieses informative Video! 💖😘,bot,93,12,0 days 00:00:38,1,1,2,6.416666666666667,2
14,Tolle Themenwahl! Danke für deine interessanten und fesselnden Inhalte! 🍭💝,bot,74,9,0 days 00:00:27,1,1,2,6.777777777777778,2
15,Deine Videos sind immer so hilfreich! Vielen Dank für das neue Wissen! 🐱💞,bot,73,12,0 days 00:00:26,1,1,2,4.75,2
16,Danke für die fröhlichen Emotionen! Ihre Videos sind immer so inspirierend! 👄😻👅,bot,79,11,0 days 00:07:34,1,1,2,5.7272727272727275,3
17,Ihre Videos sind immer so informativ und interessant! Ich danke Ihnen dafür! 💚🍓,bot,79,12,0 days 00:10:05,1,0,2,5.25,2
18,Sehr interessante Herangehensweise an das Thema! Danke für so ein informatives Video! 💋🔥,bot,88,12,0 days 00:12:00,1,1,2,6.0,2
19,Deine Videos sind immer so lohnend und unterhaltsam. Danke für deine Arbeit und dein Talent!🎋🏑☃️,bot,96,15,0 days 00:01:26,1,1,2,5.066666666666666,3
20,Danke für die nützlichen Informationen! Mit welchem Objektiv hast du dieses Video gedreht? 🧡💖,bot,93,13,0 days 00:17:08,1,1,2,5.846153846153846,2
21,Sehr interessante Herangehensweise an das Thema! Vielen Dank für dieses informative Video! 😻👅,bot,93,12,0 days 00:00:39,1,1,2,6.416666666666667,2
22,"Danke für Ihre Tipps zum Drehbuchschreiben! Wie entscheiden Sie, welche Dialoge Sie in Ihre Videos aufnehmen? 💋🔥",bot,112,16,0 days 00:00:31,1,1,2,5.6875,2
23,Deine Videos sind eine wahre Oase für den Geist und die Seele. Danke für deine Kreativität und Inspiration!🔺🪖🙀,bot,110,18,0 days 00:04:49,1,1,2,4.888888888888889,3
24,Danke für die fröhlichen Emotionen! Ihre Videos sind immer so inspirierend! 💞✨,bot,78,11,0 days 00:30:12,1,1,2,5.7272727272727275,2
25,Ihre Videos sind immer eine Freude zu sehen. Danke für dein Können und deine Kreativität!🥂🚲🔶,bot,92,15,0 days 00:00:47,1,1,2,4.866666666666666,3
26,Deine Videos sind immer so hilfreich! Vielen Dank für das neue Wissen! 😛💕,bot,73,12,0 days 00:16:57,1,1,2,4.75,2
27,Fantastisch! Vielen Dank für Ihre harte Arbeit und Ihr Talent! 👄😻👅,bot,66,10,,1,1,2,5.1,3
28,Ihre Videos sind immer so unterhaltsam und informativ! Vielen Dank für diesen Beitrag! 💋🔥,bot,89,13,0 days 00:01:38,1,1,2,5.538461538461538,2
29,Deine Videos sind immer so hilfreich! Vielen Dank für das neue Wissen! 😘🍭,bot,73,12,0 days 00:01:16,1,1,2,4.75,2
30,Danke für diese lehrreichen Erzählungen und der musikalischen Untermalung.🙏💕,bot,76,9,0 days 18:35:14,0,1,1,7.222222222222222,2
31,Deine Videos sind immer voller Kreativität und Stil. Vielen Dank für Ihr Können!🐱💖🌎,bot,83,13,0 days 00:02:28,1,1,2,5.076923076923077,3
32,Welche Video-Blogger auf YouTube inspirieren dich? 😘🍭,bot,53,6,0 days 00:35:50,0,0,1,7.166666666666667,2
33,Danke für deine harte Arbeit und Hingabe. Deine Videos sind immer eine Freude zu sehen.🐵🟫🤙,bot,90,15,0 days 00:02:03,0,1,2,4.733333333333333,3
34,Ich schätze Ihre Arbeit sehr! Ihre Videos sind immer von so hoher Qualität und Wärme. Machen Sie weiter so!📹🐮🤭,bot,110,19,0 days 00:01:52,1,0,3,4.526315789473684,3
35,Sehr anregend! Ich werde mich auf weitere Videos freuen! 🍓🌺,bot,59,9,0 days 00:10:13,1,0,2,5.111111111111111,2
36,"Deine Videos sind immer so spitzbübisch und unterhaltsam! Vielen Dank für deinen Sinn für Humor und deine Fähigkeit, uns den Tag zu verschönern und Spaß zu bereiten!🐍🌄🏔",bot,168,27,0 days 00:02:51,1,1,2,5.037037037037037,3
37,Deine Videos sind immer so hilfreich! Vielen Dank für das neue Wissen! 🍒🧡,bot,73,12,0 days 00:21:00,1,1,2,4.75,2
38,"Dein Kanal ist nicht nur eine Sammlung von Videos, er ist eine Bibliothek des Wissens und der Unterhaltung. Nimm uns weiterhin mit auf diese spannende Reise!🌖🥬🐬",bot,160,26,0 days 00:00:57,1,0,2,4.961538461538462,3
39,Ihre Videos sind immer so unterhaltsam und informativ! Vielen Dank für diesen Beitrag! 💝🐱,bot,89,13,0 days 00:09:24,1,1,2,5.538461538461538,2
40,"Es ist immer ein Vergnügen, Ihre Videos anzuschauen - viele nützliche Informationen und tolle Filmqualität. Sie sind der Beste!🥩🍫☃️",bot,131,19,0 days 00:01:17,1,0,2,5.833333333333333,3
41,"Dein Kanal ist eine wahre Oase für Geist und Seele. Danke für deine Wärme und das Licht, das du in unser Leben bringst!🏠😝🦭",bot,122,23,0 days 00:21:45,1,1,2,4.086956521739131,3
42,"Deine Videos heitern mich immer auf und lassen mich meine Probleme vergessen. Danke für deine Fähigkeit, uns glücklich zu machen!🧨⌨️👏🏻",bot,134,20,0 days 00:08:10,1,1,2,5.35,3
43,Großartige Arbeit! Vielen Dank für so interessante Inhalte! 🍓🌺,bot,62,8,0 days 00:17:50,1,1,2,6.25,2
44,Deine Videos sind immer so aufrichtig und intelligent. Vielen Dank für deinen Beitrag zur Bildung und Entwicklung der Gemeinschaft!🌞🚌🐧,bot,134,19,0 days 00:00:20,1,1,2,5.842105263157895,3
45,Dein Talent kennt keine Grenzen! Danke für deine Kreativität und dein Engagement.🌜🌾✨,bot,84,12,0 days 00:02:23,1,1,2,5.666666666666667,3
46,Hat wirklich Spaß gemacht! Ich freue mich auf weitere Videos! 🍓🌺,bot,64,10,0 days 00:00:34,1,0,2,5.0,2
47,Deine Videos sind immer eine Quelle der Positivität und guten Laune. Vielen Dank für deine lustige und kreative Arbeit!🪀💙🦾,bot,122,19,0 days 00:12:22,1,1,2,5.2105263157894735,3
48,Vielen Dank für Ihre Initiative! Wie planen Sie normalerweise die Veröffentlichung Ihrer Videos? 💞✨,bot,99,13,0 days 00:01:01,1,1,2,6.3076923076923075,2
49,"Dein Kanal ist eine wahre Oase für Geist und Seele. Danke für deine Wärme und das Licht, das du in unser Leben bringst!🐮🦾💧",bot,122,23,0 days 00:03:46,1,1,2,4.086956521739131,3
50,Ihre Videos sind immer ein hoher Qualitätsstandard auf YouTube. Vielen Dank für Ihre Arbeit!🧐🐛🛫,bot,95,14,0 days 00:05:44,1,1,2,5.5,3
51,Danke für die informative Führung über die Messe der Innovationen👍😃,bot,67,10,0 days 04:42:11,0,1,1,5.6,2
52,Ihre Videos sind ein Beispiel dafür wie Inhalte gemacht sein sollten. Qualitativ hochwertig gefilmt geschickt geschnitten und mit nützlichen Informationen versehen. Ich danke Ihnen!Sie sind wahre Meister! Ihre Inhalte gefallen immer durch hohe Qualität und Professionalität. Erfreuen Sie uns weiterhin mit Ihren Werken.⛹️🌟💻,bot,323,43,,1,0,6,6.3023255813953485,3
53,Einfach wunderbar! Danke für deine harte Arbeit und dein Talent! 💞✨,bot,67,10,0 days 00:07:13,1,1,2,5.3,2
54,Ihre Videos sind immer so unterhaltsam und informativ! Vielen Dank für diesen Beitrag! ✨🍓,bot,89,13,0 days 00:04:00,1,1,2,5.538461538461538,2
55,Tolle Themenwahl! Danke für das faszinierende Video! 🔥😛,bot,55,7,0 days 00:00:42,1,1,2,6.285714285714286,2
56,Sehr interessantes Thema! Danke für das tolle Video! 💕😚,bot,55,8,0 days 00:00:52,1,1,2,5.375,2
57,Ihre Videos sind immer so informativ und aufschlussreich! Vielen Dank für dieses Video! 😻👅,bot,90,13,0 days 00:03:55,1,1,2,5.615384615384615,2
58,Vielen Dank für diese inspirierenden Videos! Sie sind einfach wunderbar! 💚🍓,bot,75,10,0 days 00:00:53,1,1,2,6.1,2
59,Wie wichtig ist Ihrer Meinung nach die Liebe zum Detail bei der Erstellung von Inhalten? 🍒🧡,bot,91,15,0 days 00:05:42,0,0,1,4.866666666666666,2
60,Danke für die ausführliche Erklärung! Können Sie die besten Kurse zu diesem Thema empfehlen? 👅💋,bot,95,14,0 days 00:03:24,1,1,2,5.5,2
61,Danke für die Inspiration! Welche YouTube-Kanäle schauen Sie selbst am liebsten? 🐱💞,bot,83,11,0 days 00:00:20,1,1,2,6.090909090909091,2
62,Deine Videos sind immer so inspirierend! Danke für deine Energie! 🐱💞,bot,68,10,0 days 00:02:07,1,1,2,5.4,2
63,Deine Videos sind immer ein Genuss. Vielen Dank für Ihr Können und Ihre Kreativität!🎩👋🔺,bot,87,14,0 days 00:07:43,1,1,2,4.928571428571429,3
64,Es hat mir sehr gut gefallen! Danke für die lebendigen Emotionen und die nützlichen Informationen! 👄😻👅,bot,102,15,0 days 00:02:08,1,1,2,5.466666666666667,3
65,"Deine Videos sind nicht nur Inhalt, sie sind eine Quelle der Inspiration und des Lernens. Danke für deine Kreativität und deine Arbeit!😽🧭💦",bot,138,22,0 days 00:00:24,1,1,2,5.045454545454546,3
66,Großartige Arbeit! Vielen Dank für so interessante Inhalte! 💋🔥,bot,62,8,0 days 00:02:56,1,1,2,6.25,2
67,Großartige Arbeit! Vielen Dank für so interessante Inhalte! 🧡💖,bot,62,8,0 days 00:00:52,1,1,2,6.25,2
68,Sehr cool! Vielen Dank für Ihre Liebe zum Detail! 😻👅,bot,52,9,0 days 00:03:33,1,1,2,4.333333333333333,2
69,Dein Kanal ist eine wahre Fundgrube der Inspiration. Vielen Dank für Ihren Beitrag!👠👊🍺,bot,86,13,0 days 00:03:19,1,1,2,5.3076923076923075,3
70,"Danke für Ihre Tipps zum Drehbuchschreiben! Wie entscheiden Sie, welche Dialoge Sie in Ihre Videos aufnehmen? ✨🍓",bot,112,16,0 days 00:05:22,1,1,2,5.6875,2
71,Deine Videos sind immer voll von Kreativität und Stil. Vielen Dank für dein handwerkliches Geschick.🍇🦓😇,bot,103,15,0 days 00:00:35,0,1,2,5.6,3
72,Vielen Dank für Ihre Professionalität und Ihr Talent. Ihre Videos sind immer beeindruckend.🔴💪🐈,bot,94,13,0 days 00:25:47,0,1,2,5.923076923076923,3
73,Sehr interessantes und informatives Video! Vielen Dank für Ihre Liebe zum Detail! 😻👅,bot,84,12,0 days 00:14:33,1,1,2,5.666666666666667,2
74,Ihre Videos sind immer so klar und verständlich! Danke für die hilfreichen Lektionen! 💚🍓,bot,88,13,0 days 00:01:54,1,1,2,5.461538461538462,2
75,"Tolles Video! Ich mag die Art und Weise, wie Sie das Material präsentieren - alles ist klar, verständlich und professionell. Machen Sie uns weiterhin mit Ihrer Arbeit glücklich!🐢⛸🏄‍",bot,181,28,0 days 00:10:38,1,0,3,5.333333333333333,3
76,Sehr cool! Vielen Dank für Ihre Liebe zum Detail! 🍒🧡,bot,52,9,0 days 00:03:44,1,1,2,4.333333333333333,2
77,Tolle Arbeit! Ich freue mich auf weitere Videos von dir! 💖😘,bot,59,10,0 days 00:07:36,1,0,2,4.5,2
78,Deine Videos sind ein wahrer Urlaubsort für den Geist und die Seele. Danke für dein talentiertes Kanalmanagement und die tollen Inhalte!🍆🐎⌨️,bot,140,21,0 days 00:02:55,1,1,2,5.428571428571429,3
79,Ihre Videos sind immer voller Kreativität und Stil. Vielen Dank für Ihr Können!🦩🫒🌹,bot,82,13,0 days 00:07:43,1,1,2,5.0,3
80,Fantastisch! Vielen Dank für Ihre harte Arbeit und Ihr Talent! 💝🐱,bot,65,10,0 days 00:02:53,1,1,2,5.1,2
81,"Deine Videos sind nicht nur Inhalt, sie sind echte geistige Nahrung. Vielen Dank für deine Kreativität und deine Bemühungen!🦄👊🛷",bot,127,19,0 days 00:04:37,1,1,2,5.421052631578948,3
82,Deine Ideen sind immer frisch und originell. Vielen Dank für die Inspiration!🚀🥕🏔,bot,80,12,0 days 00:05:18,1,1,2,5.333333333333333,3
83,Jedes deiner Videos ist ein kleines Wunder! Danke für deine harte Arbeit und dein Talent.🟢🟨✊,bot,92,15,0 days 00:04:26,1,1,2,4.866666666666666,3
84,"Dieses Video hat mich die ganze Arbeit vergessen lassen. Jetzt habe ich ein neues Ziel, mehr zu lachen und Freude zu teilen💝",bot,124,22,0 days 00:00:41,0,0,2,4.545454545454546,1
85,Dein Kanal ist eine wahre Fundgrube an nützlichen Informationen! Vielen Dank dafür! ✨🍓,bot,86,12,0 days 00:02:36,1,1,2,5.833333333333333,2
86,Deine Videos sind immer von tiefer Bedeutung und Emotion erfüllt. Danke für deine Kreativität und deine Bemühungen!🥬🏚🌆,bot,118,17,0 days 00:03:43,1,1,2,5.705882352941177,3
87,Ihre Videos sind immer von hoher Qualität und tiefgründigen Gedanken. Vielen Dank für Ihr Engagement und Ihr Talent!🥎🔵🍾,bot,119,18,0 days 00:03:43,1,1,2,5.388888888888889,3
88,"Deine Videos sind immer so hochwertig und interessant, dass die Zeit wie im Flug vergeht, wenn ich sie anschaue. Vielen Dank für deine Arbeit!✋🏍🛷",bot,145,24,0 days 00:16:51,1,1,2,4.791666666666667,3
89,Jede Veröffentlichung ist ein kleines Meisterwerk. Danke für deine harte Arbeit und deine Liebe!⌚️😲🫦,bot,100,14,0 days 00:02:23,1,1,2,5.785714285714286,3
90,Ihr Kanal ist ein echter Fund! Die Qualität der Videos und die Präsentation der Informationen ist erstklassig. Vielen Dank für Ihre harte Arbeit!🦆🛩😽,bot,148,23,0 days 00:01:20,1,1,3,5.217391304347826,3
91,"Jedes deiner Videos ist ein filmisches Meisterwerk, das Anerkennung und Respekt verdient. Inspiriere uns weiterhin mit deinem Talent und deiner Arbeit!🐬🍻🛻",bot,154,21,0 days 00:00:30,1,0,2,6.095238095238095,3
92,"Deine Videos sind nicht nur Inhalt, sie sind wahre Kunst. Danke für deine talentierte Kreativität!🤣🫵🪷",bot,101,15,0 days 00:01:08,1,1,2,5.4,3
93,Wie organisieren Sie Ihren Arbeitsbereich für die Dreharbeiten? Haben Sie irgendwelche besonderen Annehmlichkeiten? 👄😻👅,bot,119,13,0 days 00:00:17,0,0,2,7.769230769230769,3
94,"Ihr Kanal ist ein Beispiel dafür, wie qualitativ hochwertige Inhalte auf YouTube sein sollten. Danke für deine harte Arbeit und Mühe!🏄‍🛫🐻",bot,137,21,0 days 00:03:02,1,1,2,5.238095238095238,3
95,Großartige Arbeit! Vielen Dank für so interessante Inhalte! 😚🍒,bot,62,8,0 days 00:00:48,1,1,2,6.25,2
96,Großartige Arbeit! Ihre Videos sind immer so hochwertig und interessant! 💋🔥,bot,75,10,0 days 00:03:57,1,0,2,6.1,2
97,Ihre Videos sind immer so informativ und aufschlussreich! Vielen Dank für dieses Video! ✨🍓,bot,90,13,0 days 00:00:31,1,1,2,5.615384615384615,2
98,Dein Kanal ist wie eine Oase in der Welt der Inhalte. Machen Sie uns weiterhin mit Ihrer Arbeit glücklich!🌟🤝🏍,bot,109,19,0 days 00:01:37,1,0,2,4.526315789473684,3
99,"Deine Videos sind immer so hochwertig und interessant, dass die Zeit wie im Flug vergeht, wenn ich sie anschaue. Vielen Dank für deine Arbeit!😝❤️☝️",bot,147,24,0 days 00:00:27,1,1,2,4.791666666666667,3
100,"Deine Videos sind immer so witzig und geistreich! Danke für deinen großzügigen Geist und deine farbenfrohen, witzigen Inhalte!👆🥭♀️",bot,130,18,0 days 00:03:38,1,1,2,5.888888888888889,3
101,"Deine Videos schaffen es immer, mich selbst an den grauesten Tagen aufzuheitern. Danke für deine fröhliche Kreativität und deine positive Einstellung!🥶🕋😜",bot,153,21,0 days 00:06:20,1,1,2,6.0476190476190474,3
102,Sehr interessantes und informatives Video! Vielen Dank für Ihre Liebe zum Detail! 🌺💚,bot,84,12,0 days 00:05:13,1,1,2,5.666666666666667,2
103,Ihre Videos beeindrucken immer durch ihre hohe Qualität und ihren tiefgründigen Inhalt. Vielen Dank für Ihre harte Arbeit!🌷🏙💋,bot,125,18,0 days 00:24:55,1,1,2,5.722222222222222,3
104,Sehr cool! Danke für deine Inspiration und Arbeit! ✨🍓,bot,53,8,0 days 00:02:15,1,1,2,5.125,2
105,"Ihre Videos sind immer originell und von hoher Qualität. Danke für Ihre Fähigkeit, zu inspirieren und zu überraschen!🐠🌼🌼",bot,120,18,0 days 00:02:09,1,1,2,5.388888888888889,3
106,"Deine Videos sind immer ein leuchtendes Beispiel dafür, wie hochwertige Inhalte aussehen sollten. Danke für deine harte Arbeit und Hingabe!🪃🌭🚜",bot,142,20,0 days 00:02:15,1,1,2,5.85,3
107,Ihre Videos hinterlassen immer einen Eindruck in den Herzen und Köpfen Ihrer Zuschauer. Vielen Dank für Ihre Kreativität und Ihre tiefgründigen Gedanken!🛵☀️🚦,bot,157,22,0 days 00:00:24,1,1,2,5.909090909090909,3
108,Vielen Dank für die Liebe zum Detail! Ihre Videos sind immer erstklassig! 🐱💞,bot,76,12,0 days 00:00:37,1,1,2,5.0,2
109,Sehr cool! Vielen Dank für Ihre Liebe zum Detail! 💞✨,bot,52,9,0 days 00:02:32,1,1,2,4.333333333333333,2
110,Ihr Kanal ist ein echter Fund! Die Qualität der Videos und die Präsentation des Disrespects ist erstklassig. Vielen Dank für Ihre harte Arbeit! 🌊🐙💪🏼🏳️‍🌈🥰,bot,153,23,0 days 00:06:17,1,1,3,5.130434782608695,5
111,Tolle Themenwahl! Danke für das faszinierende Video! 😘🍭,bot,55,7,0 days 00:00:50,1,1,2,6.285714285714286,2
112,Deine Ideen sind immer frisch und originell. Vielen Dank für die Inspiration.🏕🙏🤍,bot,80,12,0 days 00:00:38,0,1,2,5.333333333333333,3
113,Ihr seid echte Profis in eurer Arbeit! Ihre Videos sind immer mit Qualität und nützlichen Informationen erfreulich. Vielen Dank für Ihre harte Arbeit.🤭😛🏵,bot,153,23,0 days 00:00:43,1,1,3,5.434782608695652,3
114,Großartige Arbeit! Vielen Dank für so interessante Inhalte! 💞✨,bot,62,8,0 days 00:00:51,1,1,2,6.25,2
115,Sehr interessantes Video! Vielen Dank für Ihre Kreativität und Ihr Engagement! 👄😻👅,bot,82,11,0 days 00:02:23,1,1,2,6.0,3
116,Sehr interessantes und informatives Material! Vielen Dank für Ihre harte Arbeit und Ihren Fleiß! 🍒🧡,bot,99,14,0 days 00:00:25,1,1,2,5.785714285714286,2
117,Klasse! Vielen Dank für Ihre Kreativität und Arbeit! 🧡💖,bot,55,8,0 days 00:07:28,1,1,2,5.375,2
118,"Deine Videos sind mehr als nur Unterhaltung, sie sind eine Reise in eine Welt voller Schönheit und Weisheit. Danke für deine Hingabe!🐨😃🔹",bot,136,22,0 days 00:00:41,1,1,2,4.954545454545454,3
119,Deine Videos sind wie kleine Meisterwerke. Ich danke dir für dein Talent und deine Mühe.🍃🌷🍎,bot,91,15,0 days 00:01:57,0,0,2,4.8,3
120,Großartige Arbeit! Vielen Dank für so interessante Inhalte! 👄😻👅,bot,63,8,0 days 00:03:52,1,1,2,6.25,3
121,"Mein Liebesleben ist wie eine Achterbahn: aufregend, manchmal beängstigend und immer auf der Suche nach einer kleinen Pause💞",bot,124,18,0 days 00:00:49,0,0,1,5.777777777777778,1
122,Dein Kanal ist einer der besten Orte auf YouTube für hochwertige Inhalte. Vielen Dank für deine Bemühungen!🟦🍨♂️,bot,111,17,0 days 00:00:43,1,1,2,5.235294117647059,3
123,Sehr interessantes und informatives Video! Vielen Dank für Ihre Arbeit! 🌺💚,bot,74,10,0 days 00:00:36,1,1,2,6.0,2
124,"Ihre Videos sind immer so interessant und hilfreich! Danke für deine Kreativität und deine Bereitschaft, dein Wissen mit uns zu teilen!⛸♀️🫔",bot,139,21,0 days 00:01:25,1,1,2,5.333333333333333,3
125,Jedes eurer Videos ist ein echtes Meisterwerk! Vielen Dank dafür! 💝🐱,bot,68,10,0 days 00:01:25,1,1,2,5.4,2
126,Vielen Dank für Ihre Offenheit! Wie wollen Sie Ihre Fähigkeiten bei der Erstellung von Inhalten verbessern? 😻👅,bot,110,16,0 days 00:00:25,1,1,2,5.625,2
127,"Vielen Dank für Ihre Videos! Sie sind immer so hochwertig und interessant. Ich kann sehen, dass Sie Profis sind.🏜🍻‍♂️",bot,117,19,0 days 00:01:23,1,1,3,4.7368421052631575,3
128,Ihre Videos beeindrucken immer durch ihre hohe Qualität und ihren tiefgründigen Inhalt. Vielen Dank für Ihre harte Arbeit!🌍🐃🚴‍,bot,126,18,0 days 00:04:53,1,1,2,5.722222222222222,3
129,"Meine Großmutter sagt, wahre Liebe ist, wenn man gemeinsam über Videos wie dieses lachen kann👄",bot,94,15,0 days 00:01:27,0,0,1,5.133333333333334,1
130,Vielen Dank für die Liebe zum Detail! Ihre Videos sind immer erstklassig! 😘🍭,bot,76,12,0 days 00:05:38,1,1,2,5.0,2
131,Einfach wunderbar! Danke für deine harte Arbeit und dein Talent! 👄😻👅,bot,68,10,0 days 00:00:23,1,1,2,5.3,3
132,Danke für deine harte Arbeit und dein Talent. Deine Videos sind immer eine Freude.🐅🐻🤝,bot,85,14,0 days 00:00:54,0,1,2,4.785714285714286,3
133,Dein Kanal ist eine wahre Fundgrube an nützlichen Informationen! Vielen Dank dafür! 🧡💖,bot,86,12,0 days 00:01:12,1,1,2,5.833333333333333,2
134,Deine Videos sind immer voller Kreativität und Stil. Vielen Dank für Ihr Können!🥏🕋👻,bot,83,13,0 days 00:01:26,1,1,2,5.076923076923077,3
135,"Ihren Kanal anzuschauen ist nicht nur Unterhaltung, sondern eine echte Bildungsreise. Dafür danke ich Ihnen!📸🚦🚁",bot,111,15,0 days 00:18:07,1,0,2,6.066666666666666,3
136,Ich habe dieses Video bei der Arbeit eingeschaltet und jetzt lacht auch mein Chef. Zeit für eine Beförderung😛,bot,109,18,0 days 00:00:32,0,0,2,5.0,1
137,"Vielen Dank für dieses Video! Jetzt habe ich ein neues Hobby, nämlich lustige Videos zu finden und sie mit meinen Freunden zu teilen💕",bot,133,23,0 days 00:00:48,1,1,2,4.695652173913044,1
138,"Ihr Kanal ist nicht nur ein Ort, an dem man Videos anschauen kann, sondern auch eine Plattform zum Lernen und zur persönlichen Entwicklung. Mach weiter so mit deiner wichtigen Arbeit!🎸🐴😺",bot,186,30,0 days 00:00:34,1,0,2,5.0,3
139,Sehr interessantes und informatives Video! Vielen Dank für Ihre Liebe zum Detail! 😘🍭,bot,84,12,0 days 00:09:08,1,1,2,5.666666666666667,2
140,Sehr interessantes und informatives Material! Vielen Dank für Ihre harte Arbeit und Ihren Fleiß! 💝🐱,bot,99,14,0 days 00:00:43,1,1,2,5.785714285714286,2
141,"Dieses Video hat mich dazu gebracht, meine Pläne für den Abend zu überdenken. Ich bin jetzt offiziell mitten in der Überarbeitung💚",bot,130,21,0 days 00:00:28,0,0,2,5.095238095238095,1
142,Ich bewundere Ihre Professionalität! Ihre Videos sind immer so hochwertig und interessant. Erfreuen Sie uns weiterhin mit Ihren Arbeiten.✨🪝🌘,bot,140,19,0 days 00:00:17,1,0,3,6.105263157894737,3
143,"Wenn ich so viel Talent hätte wie der Mann in diesem Video, wäre ich jetzt schon berühmt💕",bot,89,17,0 days 00:00:50,0,0,1,4.176470588235294,1
144,"Jedes Ihrer Videos ist ein kleines Meisterwerk, das durch seine Schönheit und Tiefe besticht. Inspirieren und überraschen Sie uns weiterhin!🐡🍓🛞",bot,143,20,0 days 00:00:30,1,0,2,5.9,3
145,"Ihre Videos sind ein Beispiel dafür, wie Inhalte gemacht sein sollten. Qualitativ hochwertig gefilmt, geschickt geschnitten und mit nützlichen Informationen versehen. Ich danke Ihnen!Sie sind wahre Meister! Ihre Inhalte gefallen immer durch hohe Qualität und Professionalität. Erfreuen Sie uns weiterhin mit Ihren Werken.⛹️🌟💻",bot,325,43,0 days 00:00:17,1,0,6,6.3023255813953485,3
146,"Ihre Videos heben sich immer von der Masse ab. Danke für deine Kreativität und deine einzigartige Art, die Welt zu sehen!🥂🚌🐵",bot,124,21,0 days 00:00:38,1,1,2,4.666666666666667,3
147,Sehr interessantes und relevantes Thema! Ich freue mich schon auf Ihr nächstes Video! 💞✨,bot,88,13,0 days 00:00:53,1,0,2,5.461538461538462,2
148,Fantastisch! Vielen Dank für Ihre harte Arbeit und Ihr Talent! 😛💕,bot,65,10,0 days 00:00:51,1,1,2,5.1,2
149,"Wenn ich so viel Selbstvertrauen hätte wie der Typ in diesem Video, wäre ich schon Präsident👄",bot,93,16,0 days 00:00:47,0,0,1,4.75,1
150,"Deine Videos sind immer so spitzbübisch und unterhaltsam! Vielen Dank für deinen Sinn für Humor und deine Fähigkeit, uns den Tag zu verschönern und Spaß zu bereiten!💯❓💫",bot,168,27,0 days 00:00:26,1,1,2,5.037037037037037,3
151,Sehr interessantes und informatives Video! Vielen Dank für Ihre Liebe zum Detail! 💞✨,bot,84,12,0 days 00:00:49,1,1,2,5.666666666666667,2
152,"Wenn Lachen das Leben verlängern würde, dann würde mich dieses Video unsterblich machen🐱",bot,88,13,0 days 00:00:47,0,0,1,5.6923076923076925,1
153,Ihre Videos zeichnen sich immer durch Qualität und Originalität aus. Vielen Dank für Ihren Beitrag!🎓🥭🐦,bot,102,15,0 days 00:02:58,1,1,2,5.533333333333333,3
154,"Ich habe dieses Video meinem Chef gezeigt, und jetzt haben wir eine neue Art, unsere Pausen zu verbringen - gemeinsam zu lachen😛",bot,128,22,0 days 00:01:24,0,0,1,4.904761904761905,1
155,Auf deinem Kanal ist jedes Video eine neue Geschichte und Entdeckung. Überrasche und inspiriere uns immer wieder aufs Neue!🔳🤑😀,bot,126,19,0 days 00:01:43,1,0,2,5.421052631578948,3
156,"Ich habe dieses Video meiner Großmutter gezeigt, und jetzt will sie auch Bloggerin werden. Ich glaube, wir haben ein neues Projekt🔥",bot,131,21,0 days 00:00:30,0,0,2,5.095238095238095,1
